id;age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
0;58;management;married;tertiary;no;2143;yes;no;unknown;5;may;261;1;-1;0;unknown;no
1;44;technician;single;secondary;no;29;yes;no;unknown;5;may;151;1;-1;0;unknown;no
2;33;entrepreneur;married;secondary;no;2;yes;yes;unknown;5;may;76;1;-1;0;unknown;no
3;47;blue-collar;married;unknown;no;1506;yes;no;unknown;5;may;92;1;-1;0;unknown;no
4;33;unknown;single;unknown;no;1;no;no;unknown;5;may;198;1;-1;0;unknown;no
5;35;management;married;tertiary;no;231;yes;no;unknown;5;may;139;1;-1;0;unknown;no
6;28;management;single;tertiary;no;447;yes;yes;unknown;5;may;217;1;-1;0;unknown;no
7;42;entrepreneur;divorced;tertiary;yes;2;yes;no;unknown;5;may;380;1;-1;0;unknown;no
8;58;retired;married;primary;no;121;yes;no;unknown;5;may;50;1;-1;0;unknown;no
9;43;technician;single;secondary;no;593;yes;no;unknown;5;may;55;1;-1;0;unknown;no
10;41;admin.;divorced;secondary;no;270;yes;no;unknown;5;may;222;1;-1;0;unknown;no
11;29;admin.;single;secondary;no;390;yes;no;unknown;5;may;137;1;-1;0;unknown;no
12;53;technician;married;secondary;no;6;yes;no;unknown;5;may;517;1;-1;0;unknown;no
13;58;technician;married;unknown;no;71;yes;no;unknown;5;may;71;1;-1;0;unknown;no
14;57;services;married;secondary;no;162;yes;no;unknown;5;may;174;1;-1;0;unknown;no
15;51;retired;married;primary;no;229;yes;no;unknown;5;may;353;1;-1;0;unknown;no
16;45;admin.;single;unknown;no;13;yes;no;unknown;5;may;98;1;-1;0;unknown;no
17;57;blue-collar;married;primary;no;52;yes;no;unknown;5;may;38;1;-1;0;unknown;no
18;60;retired;married;primary;no;60;yes;no;unknown;5;may;219;1;-1;0;unknown;no
19;33;services;married;secondary;no;0;yes;no;unknown;5;may;54;1;-1;0;unknown;no
20;28;blue-collar;married;secondary;no;723;yes;yes;unknown;5;may;262;1;-1;0;unknown;no
21;56;management;married;tertiary;no;779;yes;no;unknown;5;may;164;1;-1;0;unknown;no
22;32;blue-collar;single;primary;no;23;yes;yes;unknown;5;may;160;1;-1;0;unknown;no
23;25;services;married;secondary;no;50;yes;no;unknown;5;may;342;1;-1;0;unknown;no
24;40;retired;married;primary;no;0;yes;yes;unknown;5;may;181;1;-1;0;unknown;no
25;44;admin.;married;secondary;no;-372;yes;no;unknown;5;may;172;1;-1;0;unknown;no
26;39;management;single;tertiary;no;255;yes;no;unknown;5;may;296;1;-1;0;unknown;no
27;52;entrepreneur;married;secondary;no;113;yes;yes;unknown;5;may;127;1;-1;0;unknown;no
28;46;management;single;secondary;no;-246;yes;no;unknown;5;may;255;2;-1;0;unknown;no
29;36;technician;single;secondary;no;265;yes;yes;unknown;5;may;348;1;-1;0;unknown;no
30;57;technician;married;secondary;no;839;no;yes;unknown;5;may;225;1;-1;0;unknown;no
31;49;management;married;tertiary;no;378;yes;no;unknown;5;may;230;1;-1;0;unknown;no
32;60;admin.;married;secondary;no;39;yes;yes;unknown;5;may;208;1;-1;0;unknown;no
33;59;blue-collar;married;secondary;no;0;yes;no;unknown;5;may;226;1;-1;0;unknown;no
34;51;management;married;tertiary;no;10635;yes;no;unknown;5;may;336;1;-1;0;unknown;no
35;57;technician;divorced;secondary;no;63;yes;no;unknown;5;may;242;1;-1;0;unknown;no
36;25;blue-collar;married;secondary;no;-7;yes;no;unknown;5;may;365;1;-1;0;unknown;no
37;53;technician;married;secondary;no;-3;no;no;unknown;5;may;1666;1;-1;0;unknown;no
38;36;admin.;divorced;secondary;no;506;yes;no;unknown;5;may;577;1;-1;0;unknown;no
39;37;admin.;single;secondary;no;0;yes;no;unknown;5;may;137;1;-1;0;unknown;no
40;44;services;divorced;secondary;no;2586;yes;no;unknown;5;may;160;1;-1;0;unknown;no
41;50;management;married;secondary;no;49;yes;no;unknown;5;may;180;2;-1;0;unknown;no
42;60;blue-collar;married;unknown;no;104;yes;no;unknown;5;may;22;1;-1;0;unknown;no
43;54;retired;married;secondary;no;529;yes;no;unknown;5;may;1492;1;-1;0;unknown;no
44;58;retired;married;unknown;no;96;yes;no;unknown;5;may;616;1;-1;0;unknown;no
45;36;admin.;single;primary;no;-171;yes;no;unknown;5;may;242;1;-1;0;unknown;no
46;58;self-employed;married;tertiary;no;-364;yes;no;unknown;5;may;355;1;-1;0;unknown;no
47;44;technician;married;secondary;no;0;yes;no;unknown;5;may;225;2;-1;0;unknown;no
48;55;technician;divorced;secondary;no;0;no;no;unknown;5;may;160;1;-1;0;unknown;no
49;29;management;single;tertiary;no;0;yes;no;unknown;5;may;363;1;-1;0;unknown;no
50;54;blue-collar;married;secondary;no;1291;yes;no;unknown;5;may;266;1;-1;0;unknown;no
51;48;management;divorced;tertiary;no;-244;yes;no;unknown;5;may;253;1;-1;0;unknown;no
52;32;management;married;tertiary;no;0;yes;no;unknown;5;may;179;1;-1;0;unknown;no
53;42;admin.;single;secondary;no;-76;yes;no;unknown;5;may;787;1;-1;0;unknown;no
54;24;technician;single;secondary;no;-103;yes;yes;unknown;5;may;145;1;-1;0;unknown;no
55;38;entrepreneur;single;tertiary;no;243;no;yes;unknown;5;may;174;1;-1;0;unknown;no
56;38;management;single;tertiary;no;424;yes;no;unknown;5;may;104;1;-1;0;unknown;no
57;47;blue-collar;married;unknown;no;306;yes;no;unknown;5;may;13;1;-1;0;unknown;no
58;40;blue-collar;single;unknown;no;24;yes;no;unknown;5;may;185;1;-1;0;unknown;no
59;46;services;married;primary;no;179;yes;no;unknown;5;may;1778;1;-1;0;unknown;no
60;32;admin.;married;tertiary;no;0;yes;no;unknown;5;may;138;1;-1;0;unknown;no
61;53;technician;divorced;secondary;no;989;yes;no;unknown;5;may;812;1;-1;0;unknown;no
62;57;blue-collar;married;primary;no;249;yes;no;unknown;5;may;164;1;-1;0;unknown;no
63;33;services;married;secondary;no;790;yes;no;unknown;5;may;391;1;-1;0;unknown;no
64;49;blue-collar;married;unknown;no;154;yes;no;unknown;5;may;357;1;-1;0;unknown;no
65;51;management;married;tertiary;no;6530;yes;no;unknown;5;may;91;1;-1;0;unknown;no
66;60;retired;married;tertiary;no;100;no;no;unknown;5;may;528;1;-1;0;unknown;no
67;59;management;divorced;tertiary;no;59;yes;no;unknown;5;may;273;1;-1;0;unknown;no
68;55;technician;married;secondary;no;1205;yes;no;unknown;5;may;158;2;-1;0;unknown;no
69;35;blue-collar;single;secondary;no;12223;yes;yes;unknown;5;may;177;1;-1;0;unknown;no
70;57;blue-collar;married;secondary;no;5935;yes;yes;unknown;5;may;258;1;-1;0;unknown;no
71;31;services;married;secondary;no;25;yes;yes;unknown;5;may;172;1;-1;0;unknown;no
72;54;management;married;secondary;no;282;yes;yes;unknown;5;may;154;1;-1;0;unknown;no
73;55;blue-collar;married;primary;no;23;yes;no;unknown;5;may;291;1;-1;0;unknown;no
74;43;technician;married;secondary;no;1937;yes;no;unknown;5;may;181;1;-1;0;unknown;no
75;53;technician;married;secondary;no;384;yes;no;unknown;5;may;176;1;-1;0;unknown;no
76;44;blue-collar;married;secondary;no;582;no;yes;unknown;5;may;211;1;-1;0;unknown;no
77;55;services;divorced;secondary;no;91;no;no;unknown;5;may;349;1;-1;0;unknown;no
78;49;services;divorced;secondary;no;0;yes;yes;unknown;5;may;272;1;-1;0;unknown;no
79;55;services;divorced;secondary;yes;1;yes;no;unknown;5;may;208;1;-1;0;unknown;no
80;45;admin.;single;secondary;no;206;yes;no;unknown;5;may;193;1;-1;0;unknown;no
81;47;services;divorced;secondary;no;164;no;no;unknown;5;may;212;1;-1;0;unknown;no
82;42;technician;single;secondary;no;690;yes;no;unknown;5;may;20;1;-1;0;unknown;no
83;59;admin.;married;secondary;no;2343;yes;no;unknown;5;may;1042;1;-1;0;unknown;yes
84;46;self-employed;married;tertiary;no;137;yes;yes;unknown;5;may;246;1;-1;0;unknown;no
85;51;blue-collar;married;primary;no;173;yes;no;unknown;5;may;529;2;-1;0;unknown;no
86;56;admin.;married;secondary;no;45;no;no;unknown;5;may;1467;1;-1;0;unknown;yes
87;41;technician;married;secondary;no;1270;yes;no;unknown;5;may;1389;1;-1;0;unknown;yes
88;46;management;divorced;secondary;no;16;yes;yes;unknown;5;may;188;2;-1;0;unknown;no
89;57;retired;married;secondary;no;486;yes;no;unknown;5;may;180;2;-1;0;unknown;no
90;42;management;single;secondary;no;50;no;no;unknown;5;may;48;1;-1;0;unknown;no
91;30;technician;married;secondary;no;152;yes;yes;unknown;5;may;213;2;-1;0;unknown;no
92;60;admin.;married;secondary;no;290;yes;no;unknown;5;may;583;1;-1;0;unknown;no
93;60;blue-collar;married;unknown;no;54;yes;no;unknown;5;may;221;1;-1;0;unknown;no
94;57;entrepreneur;divorced;secondary;no;-37;no;no;unknown;5;may;173;1;-1;0;unknown;no
95;36;management;married;tertiary;no;101;yes;yes;unknown;5;may;426;1;-1;0;unknown;no
96;55;blue-collar;married;secondary;no;383;no;no;unknown;5;may;287;1;-1;0;unknown;no
97;60;retired;married;tertiary;no;81;yes;no;unknown;5;may;101;1;-1;0;unknown;no
98;39;technician;married;secondary;no;0;yes;no;unknown;5;may;203;1;-1;0;unknown;no
99;46;management;married;tertiary;no;229;yes;no;unknown;5;may;197;1;-1;0;unknown;no
100;44;blue-collar;married;secondary;no;-674;yes;no;unknown;5;may;257;1;-1;0;unknown;no
101;53;blue-collar;married;primary;no;90;no;no;unknown;5;may;124;1;-1;0;unknown;no
102;52;blue-collar;married;primary;no;128;yes;no;unknown;5;may;229;1;-1;0;unknown;no
103;59;blue-collar;married;primary;no;179;yes;no;unknown;5;may;55;3;-1;0;unknown;no
104;27;technician;single;tertiary;no;0;yes;no;unknown;5;may;400;1;-1;0;unknown;no
105;44;blue-collar;married;secondary;no;54;yes;no;unknown;5;may;197;1;-1;0;unknown;no
106;47;technician;married;tertiary;no;151;yes;no;unknown;5;may;190;1;-1;0;unknown;no
107;34;admin.;married;secondary;no;61;no;yes;unknown;5;may;21;1;-1;0;unknown;no
108;59;retired;single;secondary;no;30;yes;no;unknown;5;may;514;1;-1;0;unknown;no
109;45;management;married;tertiary;no;523;yes;no;unknown;5;may;849;2;-1;0;unknown;no
110;29;services;divorced;secondary;no;31;yes;no;unknown;5;may;194;1;-1;0;unknown;no
111;46;technician;divorced;secondary;no;79;no;no;unknown;5;may;144;1;-1;0;unknown;no
112;56;self-employed;married;primary;no;-34;yes;yes;unknown;5;may;212;2;-1;0;unknown;no
113;36;blue-collar;married;primary;no;448;yes;no;unknown;5;may;286;1;-1;0;unknown;no
114;59;retired;divorced;primary;no;81;yes;no;unknown;5;may;107;1;-1;0;unknown;no
115;44;blue-collar;married;secondary;no;144;yes;no;unknown;5;may;247;2;-1;0;unknown;no
116;41;admin.;married;secondary;no;351;yes;no;unknown;5;may;518;1;-1;0;unknown;no
117;33;management;single;tertiary;no;-67;yes;no;unknown;5;may;364;1;-1;0;unknown;no
118;59;management;divorced;tertiary;no;262;no;no;unknown;5;may;178;1;-1;0;unknown;no
119;57;technician;married;primary;no;0;no;no;unknown;5;may;98;1;-1;0;unknown;no
120;56;technician;divorced;unknown;no;56;yes;no;unknown;5;may;439;1;-1;0;unknown;no
121;51;blue-collar;married;secondary;no;26;yes;no;unknown;5;may;79;1;-1;0;unknown;no
122;34;admin.;married;unknown;no;3;yes;no;unknown;5;may;120;3;-1;0;unknown;no
123;43;services;married;secondary;no;41;yes;yes;unknown;5;may;127;2;-1;0;unknown;no
124;52;technician;married;tertiary;no;7;no;yes;unknown;5;may;175;1;-1;0;unknown;no
125;33;technician;single;secondary;no;105;yes;no;unknown;5;may;262;2;-1;0;unknown;no
126;29;admin.;single;secondary;no;818;yes;yes;unknown;5;may;61;1;-1;0;unknown;no
127;34;services;married;secondary;no;-16;yes;yes;unknown;5;may;78;1;-1;0;unknown;no
128;31;blue-collar;married;secondary;no;0;yes;no;unknown;5;may;143;1;-1;0;unknown;no
129;55;services;married;secondary;no;2476;yes;no;unknown;5;may;579;1;-1;0;unknown;yes
130;55;management;married;unknown;no;1185;no;no;unknown;5;may;677;1;-1;0;unknown;no
131;32;admin.;single;secondary;no;217;yes;no;unknown;5;may;345;1;-1;0;unknown;no
132;38;technician;single;secondary;no;1685;yes;no;unknown;5;may;185;1;-1;0;unknown;no
133;55;admin.;single;secondary;no;802;yes;yes;unknown;5;may;100;2;-1;0;unknown;no
134;28;unemployed;single;tertiary;no;0;yes;no;unknown;5;may;125;2;-1;0;unknown;no
135;23;blue-collar;married;secondary;no;94;yes;no;unknown;5;may;193;1;-1;0;unknown;no
136;32;technician;single;secondary;no;0;yes;no;unknown;5;may;136;1;-1;0;unknown;no
137;43;services;single;unknown;no;0;no;no;unknown;5;may;73;1;-1;0;unknown;no
138;32;blue-collar;married;secondary;no;517;yes;no;unknown;5;may;528;1;-1;0;unknown;no
139;46;blue-collar;married;secondary;no;265;yes;no;unknown;5;may;541;1;-1;0;unknown;no
140;53;housemaid;divorced;primary;no;947;yes;no;unknown;5;may;163;1;-1;0;unknown;no
141;34;self-employed;single;secondary;no;3;yes;no;unknown;5;may;301;1;-1;0;unknown;no
142;57;unemployed;married;tertiary;no;42;no;no;unknown;5;may;46;1;-1;0;unknown;no
143;37;blue-collar;married;secondary;no;37;yes;no;unknown;5;may;204;1;-1;0;unknown;no
144;59;blue-collar;married;secondary;no;57;yes;no;unknown;5;may;98;1;-1;0;unknown;no
145;33;services;married;secondary;no;22;yes;no;unknown;5;may;71;1;-1;0;unknown;no
146;56;blue-collar;divorced;primary;no;8;yes;no;unknown;5;may;157;2;-1;0;unknown;no
147;48;unemployed;married;secondary;no;293;yes;no;unknown;5;may;243;1;-1;0;unknown;no
148;43;services;married;primary;no;3;yes;no;unknown;5;may;186;2;-1;0;unknown;no
149;54;blue-collar;married;primary;no;348;yes;no;unknown;5;may;579;2;-1;0;unknown;no
150;51;blue-collar;married;unknown;no;-19;yes;no;unknown;5;may;163;2;-1;0;unknown;no
151;26;student;single;secondary;no;0;yes;no;unknown;5;may;610;2;-1;0;unknown;no
152;40;management;married;tertiary;no;-4;yes;no;unknown;5;may;2033;1;-1;0;unknown;no
153;39;management;married;secondary;no;18;yes;no;unknown;5;may;85;1;-1;0;unknown;no
154;50;technician;married;primary;no;139;no;no;unknown;5;may;114;2;-1;0;unknown;no
155;41;services;married;secondary;no;0;yes;no;unknown;5;may;114;2;-1;0;unknown;no
156;51;blue-collar;married;unknown;no;1883;yes;no;unknown;5;may;57;1;-1;0;unknown;no
157;60;retired;divorced;secondary;no;216;yes;no;unknown;5;may;238;1;-1;0;unknown;no
158;52;blue-collar;married;secondary;no;782;yes;no;unknown;5;may;93;3;-1;0;unknown;no
159;48;blue-collar;married;secondary;no;904;yes;no;unknown;5;may;128;2;-1;0;unknown;no
160;48;services;married;unknown;no;1705;yes;no;unknown;5;may;107;1;-1;0;unknown;no
161;39;technician;single;tertiary;no;47;yes;no;unknown;5;may;181;1;-1;0;unknown;no
162;47;services;single;secondary;no;176;yes;no;unknown;5;may;303;2;-1;0;unknown;no
163;40;blue-collar;married;secondary;no;1225;yes;no;unknown;5;may;558;5;-1;0;unknown;no
164;45;technician;married;secondary;no;86;yes;no;unknown;5;may;270;1;-1;0;unknown;no
165;26;admin.;single;secondary;no;82;yes;no;unknown;5;may;228;1;-1;0;unknown;no
166;52;management;married;tertiary;no;271;yes;no;unknown;5;may;99;1;-1;0;unknown;no
167;54;technician;married;secondary;no;1378;yes;no;unknown;5;may;240;1;-1;0;unknown;no
168;54;admin.;married;tertiary;no;184;no;no;unknown;5;may;673;2;-1;0;unknown;yes
169;50;blue-collar;married;primary;no;0;no;no;unknown;5;may;233;3;-1;0;unknown;no
170;35;blue-collar;married;secondary;no;0;yes;no;unknown;5;may;1056;1;-1;0;unknown;no
171;44;services;married;secondary;no;1357;yes;yes;unknown;5;may;250;1;-1;0;unknown;no
172;53;entrepreneur;married;unknown;no;19;yes;no;unknown;5;may;252;1;-1;0;unknown;no
173;35;retired;single;primary;no;434;no;no;unknown;5;may;138;1;-1;0;unknown;no
174;60;admin.;divorced;secondary;no;92;yes;no;unknown;5;may;130;1;-1;0;unknown;no
175;53;admin.;divorced;secondary;no;1151;yes;no;unknown;5;may;412;1;-1;0;unknown;no
176;48;unemployed;married;secondary;no;41;yes;no;unknown;5;may;179;2;-1;0;unknown;no
177;34;technician;married;secondary;no;51;yes;no;unknown;5;may;19;2;-1;0;unknown;no
178;54;services;married;secondary;no;214;yes;no;unknown;5;may;458;2;-1;0;unknown;no
179;51;management;married;secondary;no;1161;yes;no;unknown;5;may;717;1;-1;0;unknown;no
180;31;services;married;tertiary;no;37;yes;no;unknown;5;may;313;1;-1;0;unknown;no
181;35;technician;divorced;secondary;no;787;yes;no;unknown;5;may;683;2;-1;0;unknown;no
182;35;services;married;secondary;no;59;yes;no;unknown;5;may;1077;1;-1;0;unknown;no
183;38;technician;married;secondary;no;253;yes;no;unknown;5;may;416;1;-1;0;unknown;no
184;36;admin.;married;tertiary;no;211;yes;no;unknown;5;may;146;2;-1;0;unknown;no
185;58;retired;married;primary;no;235;yes;no;unknown;5;may;167;1;-1;0;unknown;no
186;40;services;divorced;unknown;no;4384;yes;no;unknown;5;may;315;1;-1;0;unknown;no
187;54;management;married;secondary;no;4080;no;no;unknown;5;may;140;1;-1;0;unknown;no
188;34;blue-collar;single;secondary;no;53;yes;yes;unknown;5;may;346;1;-1;0;unknown;no
189;31;management;single;tertiary;no;0;yes;no;unknown;5;may;562;1;-1;0;unknown;no
190;51;retired;married;secondary;no;2127;yes;no;unknown;5;may;172;1;-1;0;unknown;no
191;33;management;married;tertiary;no;377;yes;no;unknown;5;may;217;1;-1;0;unknown;no
192;55;management;married;tertiary;no;73;yes;no;unknown;5;may;142;2;-1;0;unknown;no
193;42;admin.;married;secondary;no;445;yes;no;unknown;5;may;67;1;-1;0;unknown;no
194;34;blue-collar;married;secondary;no;243;yes;no;unknown;5;may;291;1;-1;0;unknown;no
195;33;blue-collar;single;secondary;no;307;yes;no;unknown;5;may;309;2;-1;0;unknown;no
196;38;services;married;secondary;no;155;yes;no;unknown;5;may;248;1;-1;0;unknown;no
197;50;technician;divorced;tertiary;no;173;no;yes;unknown;5;may;98;1;-1;0;unknown;no
198;43;management;married;tertiary;no;400;yes;no;unknown;5;may;256;1;-1;0;unknown;no
199;61;blue-collar;divorced;primary;no;1428;yes;no;unknown;5;may;82;2;-1;0;unknown;no
200;47;admin.;married;secondary;no;219;yes;no;unknown;5;may;577;1;-1;0;unknown;no
201;48;self-employed;married;tertiary;no;7;yes;no;unknown;5;may;286;1;-1;0;unknown;no
202;44;blue-collar;married;secondary;no;575;yes;no;unknown;5;may;477;1;-1;0;unknown;no
203;35;student;single;unknown;no;298;yes;no;unknown;5;may;611;2;-1;0;unknown;no
204;35;services;married;secondary;no;0;yes;no;unknown;5;may;471;1;-1;0;unknown;no
205;50;services;married;secondary;no;5699;yes;no;unknown;5;may;381;2;-1;0;unknown;no
206;41;management;married;tertiary;no;176;yes;yes;unknown;5;may;42;1;-1;0;unknown;no
207;41;management;married;tertiary;no;517;yes;no;unknown;5;may;251;1;-1;0;unknown;no
208;39;services;single;unknown;no;257;yes;no;unknown;5;may;408;1;-1;0;unknown;no
209;42;retired;married;secondary;no;56;yes;no;unknown;5;may;215;1;-1;0;unknown;no
210;38;blue-collar;married;secondary;no;-390;yes;no;unknown;5;may;287;1;-1;0;unknown;no
211;53;retired;married;secondary;no;330;yes;no;unknown;5;may;216;2;-1;0;unknown;no
212;59;housemaid;divorced;primary;no;195;no;no;unknown;5;may;366;2;-1;0;unknown;no
213;36;services;married;secondary;no;301;yes;no;unknown;5;may;210;1;-1;0;unknown;no
214;54;blue-collar;married;primary;no;-41;yes;no;unknown;5;may;288;1;-1;0;unknown;no
215;40;technician;married;tertiary;no;483;yes;no;unknown;5;may;168;1;-1;0;unknown;no
216;47;unknown;married;unknown;no;28;no;no;unknown;5;may;338;2;-1;0;unknown;no
217;53;unemployed;married;unknown;no;13;no;no;unknown;5;may;410;3;-1;0;unknown;no
218;46;housemaid;married;primary;no;965;no;no;unknown;5;may;177;1;-1;0;unknown;no
219;39;management;married;tertiary;no;378;yes;yes;unknown;5;may;127;2;-1;0;unknown;no
220;40;unemployed;married;secondary;no;219;yes;no;unknown;5;may;357;1;-1;0;unknown;no
221;28;blue-collar;married;primary;no;324;yes;no;unknown;5;may;175;1;-1;0;unknown;no
222;35;entrepreneur;divorced;secondary;no;-69;yes;no;unknown;5;may;300;1;-1;0;unknown;no
223;55;retired;married;secondary;no;0;no;yes;unknown;5;may;136;1;-1;0;unknown;no
224;43;technician;divorced;unknown;no;205;yes;no;unknown;5;may;1419;1;-1;0;unknown;no
225;48;blue-collar;married;primary;no;278;yes;no;unknown;5;may;125;2;-1;0;unknown;no
226;58;management;married;unknown;no;1065;yes;no;unknown;5;may;213;3;-1;0;unknown;no
227;33;management;single;tertiary;no;34;yes;no;unknown;5;may;27;1;-1;0;unknown;no
228;36;blue-collar;married;unknown;no;1033;no;no;unknown;5;may;238;2;-1;0;unknown;no
229;53;services;divorced;secondary;no;1467;yes;no;unknown;5;may;124;1;-1;0;unknown;no
230;47;blue-collar;married;primary;no;-12;yes;no;unknown;5;may;18;1;-1;0;unknown;no
231;31;services;married;secondary;no;388;yes;no;unknown;5;may;730;2;-1;0;unknown;no
232;57;entrepreneur;married;secondary;no;294;yes;no;unknown;5;may;746;2;-1;0;unknown;no
233;53;blue-collar;married;unknown;no;1827;no;no;unknown;5;may;121;1;-1;0;unknown;no
234;55;blue-collar;married;primary;no;627;yes;no;unknown;5;may;247;1;-1;0;unknown;no
235;45;blue-collar;married;primary;no;25;yes;no;unknown;5;may;40;1;-1;0;unknown;no
236;53;admin.;divorced;secondary;no;315;yes;no;unknown;5;may;181;2;-1;0;unknown;no
237;37;blue-collar;married;primary;no;0;yes;no;unknown;5;may;79;1;-1;0;unknown;no
238;44;admin.;divorced;secondary;no;66;yes;no;unknown;5;may;206;1;-1;0;unknown;no
239;49;blue-collar;divorced;primary;no;-9;yes;yes;unknown;5;may;389;1;-1;0;unknown;no
240;46;technician;married;secondary;no;349;yes;yes;unknown;5;may;127;1;-1;0;unknown;no
241;43;entrepreneur;married;unknown;no;100;yes;no;unknown;5;may;702;1;-1;0;unknown;no
242;38;admin.;married;secondary;no;0;no;no;unknown;5;may;151;1;-1;0;unknown;no
243;43;technician;married;secondary;no;434;yes;no;unknown;5;may;117;1;-1;0;unknown;no
244;49;management;married;tertiary;no;3237;yes;no;unknown;5;may;232;3;-1;0;unknown;no
245;42;management;married;unknown;no;275;no;no;unknown;5;may;408;2;-1;0;unknown;no
246;22;blue-collar;single;secondary;no;0;yes;no;unknown;5;may;179;2;-1;0;unknown;no
247;40;management;married;tertiary;no;207;yes;no;unknown;5;may;39;1;-1;0;unknown;no
248;39;blue-collar;married;secondary;no;483;yes;no;unknown;5;may;282;1;-1;0;unknown;no
249;51;services;married;secondary;no;2248;yes;no;unknown;5;may;714;2;-1;0;unknown;no
